ID	Individual	sex	genus	species	size	flight	node	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46	ProcCoord47	ProcCoord48	ProcCoord49	ProcCoord50	ProcCoord51	ProcCoord52	ProcCoord53	ProcCoord54	ProcCoord55	ProcCoord56	ProcCoord57	ProcCoord58	ProcCoord59	ProcCoord60	ProcCoord61	ProcCoord62	ProcCoord63	ProcCoord64	ProcCoord65	ProcCoord66	ProcCoord67	ProcCoord68	ProcCoord69	ProcCoord70	ProcCoord71	ProcCoord72	ProcCoord73	ProcCoord74	ProcCoord75	ProcCoord76	ProcCoord77	ProcCoord78	ProcCoord79	ProcCoord80	ProcCoord81	ProcCoord82	ProcCoord83	ProcCoord84	ProcCoord85	ProcCoord86	ProcCoord87	ProcCoord88
1	PB13-0001	M	Morpho	hercules	21.2479	can	23	-0.1566228	0.1514395	-0.1699812	0.1307994	-0.1587252	0.0954792	-0.1381432	0.0590258	-0.127977	0.0190262	-0.1165122	-0.0289769	-0.0995064	-0.0760956	-0.0795413	-0.1112297	-0.1003868	0.1462432	0.0473772	0.0720728	0.0354022	0.0754147	0.0080688	0.0727749	-0.0132944	0.0485977	0.0562875	-0.0074419	0.1115533	-0.0415181	0.1970329	-0.083424	0.2083628	-0.0765561	0.2012329	-0.0920988	-0.162779	0.1083495	-0.149513	0.0790931	-0.1325145	0.0441517	-0.1168325	-0.0056675	-0.1073002	-0.0573515	-0.0903669	-0.1034328	-0.1163337	0.1547636	-0.0769054	0.1486958	-0.0383642	0.1354204	-0.0004272	0.1191945	0.0354559	0.0979176	0.0698587	0.0723457	0.1016862	0.0426798	0.1325622	0.0113077	0.1636825	-0.0192319	0.1929748	-0.0485568	-0.058051	-0.1209587	-0.0324653	-0.1217219	-0.0062995	-0.1203135	0.0197749	-0.1172397	0.0457504	-0.1142278	0.0718858	-0.1120736	0.098129	-0.1099221	0.1243989	-0.1081982	0.1504308	-0.1060835	0.1769352	-0.1024719
2	PB13-0002	M	Morpho	hercules	19.55057	can	23	-0.1562329	0.148436	-0.1724776	0.1249801	-0.1589082	0.0904894	-0.141634	0.0585102	-0.1270601	0.0211526	-0.1210559	-0.0296755	-0.1095151	-0.0741527	-0.0912519	-0.1031292	-0.0879137	0.1393693	0.0535871	0.0690687	0.0407022	0.0710962	0.0126125	0.0678481	-0.0128738	0.0438077	0.0554564	-0.0099963	0.1098712	-0.0413635	0.1995559	-0.0842597	0.2094258	-0.077022	0.2018122	-0.0931128	-0.167412	0.1062377	-0.1520625	0.0772786	-0.1343465	0.0437887	-0.120425	-0.006414	-0.1129708	-0.0590644	-0.0951745	-0.1053727	-0.1151939	0.152466	-0.0768329	0.144503	-0.0379967	0.1327225	0.0005989	0.1186103	0.0375637	0.0994216	0.0732009	0.0752853	0.1070893	0.047639	0.1385429	0.0168217	0.1680699	-0.015256	0.1971602	-0.0461555	-0.0568963	-0.1155622	-0.0322978	-0.1164597	-0.0065971	-0.1160302	0.019291	-0.1145566	0.0452008	-0.1124528	0.0712958	-0.1103543	0.0974263	-0.1075386	0.1235019	-0.1054363	0.1494008	-0.1043526	0.1757634	-0.1018149
3	PB13-0003	M	Morpho	hercules	19.22108	can	23	-0.1549539	0.1475409	-0.1680804	0.1250342	-0.1576257	0.0914634	-0.1418894	0.0568054	-0.1280869	0.0182881	-0.1183465	-0.0351155	-0.1068971	-0.0817222	-0.0837614	-0.11928	-0.0965049	0.14653	0.0605869	0.0667512	0.048402	0.071012	0.0170371	0.0738042	-0.0109065	0.047948	0.0527234	-0.0023467	0.1119468	-0.0398803	0.1950095	-0.0850057	0.2067365	-0.0766999	0.1989865	-0.0950885	-0.1626138	0.1067616	-0.1498957	0.0771587	-0.1362253	0.0419135	-0.1216054	-0.0076206	-0.1123655	-0.059959	-0.0983171	-0.1086064	-0.1159111	0.1545632	-0.0759282	0.15111	-0.0357216	0.1414531	0.0026243	0.1246001	0.0383684	0.1020863	0.0712298	0.074206	0.1022406	0.0437012	0.1322295	0.0119073	0.1614902	-0.0201523	0.1889565	-0.0505587	-0.0583153	-0.1234546	-0.0322937	-0.1203649	-0.0064138	-0.1156644	0.0195383	-0.1117073	0.0453864	-0.1080002	0.07146	-0.1047726	0.0977197	-0.1027959	0.1239187	-0.1020781	0.1497796	-0.1020738	0.1762882	-0.1016908
4	PB13-0004	F	Morpho	hercules	19.20168	can	23	-0.154294	0.1493328	-0.1671409	0.1278337	-0.1565176	0.0936605	-0.1400612	0.05824	-0.1289664	0.0186274	-0.1223428	-0.029827	-0.1105781	-0.0773435	-0.0893553	-0.1131076	-0.0826113	0.1402745	0.0546227	0.068632	0.0422293	0.0710561	0.0121355	0.067986	-0.0056932	0.043575	0.0471428	-0.0041655	0.1016254	-0.0361	0.1987982	-0.0785745	0.2088287	-0.0707532	0.2040624	-0.0878302	-0.1623021	0.108053	-0.1492907	0.0785568	-0.1340795	0.0437483	-0.1214125	-0.0065025	-0.1148924	-0.0594817	-0.099328	-0.1078817	-0.1151798	0.1531032	-0.0763415	0.1465869	-0.0374711	0.1350142	0.000707	0.119507	0.0377699	0.1003301	0.0720096	0.0743435	0.1048428	0.0456417	0.1365333	0.0154121	0.1661514	-0.0163733	0.195365	-0.0460402	-0.0587588	-0.1232672	-0.032549	-0.1214072	-0.0064035	-0.1190291	0.0196383	-0.1175005	0.0455498	-0.1147411	0.0716337	-0.1120296	0.0976185	-0.1083655	0.1236291	-0.10591	0.1492979	-0.1030879	0.1753782	-0.1001958
5	PB13-0005	F	Morpho	hercules	20.40705	can	23	-0.161038	0.1416507	-0.1737341	0.1210182	-0.1606953	0.0891318	-0.1411098	0.0568146	-0.1266186	0.01979	-0.1227838	-0.0259475	-0.1117161	-0.0737218	-0.0886112	-0.1046272	-0.0944926	0.1397678	0.0548572	0.0707856	0.0396941	0.0727779	0.0140354	0.0683891	-0.0081956	0.0430297	0.0509314	-0.0055639	0.1062603	-0.0390325	0.1973837	-0.0846167	0.2106478	-0.0807799	0.1984045	-0.0965083	-0.1689077	0.1052609	-0.1524973	0.0764588	-0.1325461	0.044127	-0.1188871	-0.0066125	-0.1141423	-0.0597666	-0.0923217	-0.1035268	-0.113977	0.148927	-0.0751482	0.1457616	-0.0357083	0.1364358	0.0032423	0.1224628	0.0402158	0.1020862	0.0753744	0.0765397	0.1084633	0.0476123	0.1398857	0.016601	0.1690152	-0.016188	0.1954105	-0.0488057	-0.056861	-0.114272	-0.0323501	-0.1149557	-0.0065958	-0.1136127	0.0194544	-0.1115619	0.0454687	-0.1101966	0.0715616	-0.108608	0.0977731	-0.1074797	0.1239858	-0.1070577	0.1499296	-0.1064094	0.1769429	-0.1055772
6	PB13-0006	M	Morpho	hercules	18.71588	can	23	-0.1571814	0.1410156	-0.1688743	0.1203122	-0.1577273	0.0915408	-0.1426528	0.0598642	-0.1302643	0.025291	-0.1195357	-0.027054	-0.1074743	-0.0740409	-0.0900448	-0.1066557	-0.0972481	0.1393294	0.0585646	0.0688279	0.0452651	0.0726528	0.0123418	0.0719609	-0.0133658	0.0467103	0.0506146	-0.0001883	0.1209459	-0.040008	0.2004184	-0.0843464	0.2135605	-0.0765294	0.202066	-0.0949349	-0.1643174	0.1082174	-0.150764	0.0787614	-0.135716	0.0438817	-0.1211918	-0.0060716	-0.1108467	-0.0581661	-0.0979609	-0.1065877	-0.1152337	0.1475107	-0.0769663	0.1423734	-0.0378634	0.1333829	0.0003635	0.1189389	0.0373254	0.0996551	0.0721745	0.0743405	0.1052247	0.0457032	0.1366792	0.0149928	0.1666358	-0.0166817	0.1956706	-0.0467906	-0.0586455	-0.1167824	-0.0335363	-0.1158089	-0.0075957	-0.114819	0.0183748	-0.1132884	0.044338	-0.1116078	0.0704547	-0.1099348	0.0966876	-0.1082724	0.1229038	-0.1068542	0.148802	-0.1054512	0.1755951	-0.1043885
7	PB13-0007	M	Morpho	hercules	20.43008	can	23	-0.159163	0.1454506	-0.1701368	0.120813	-0.1574005	0.090264	-0.138925	0.0562574	-0.1263614	0.0196524	-0.1192993	-0.0288049	-0.1070516	-0.0740128	-0.0871122	-0.1088888	-0.0995618	0.1427822	0.0556988	0.0715188	0.0435232	0.0739853	0.0157365	0.0720229	-0.0072693	0.0466064	0.0586372	-0.0049809	0.1145991	-0.040782	0.1974139	-0.0844397	0.2097757	-0.0755286	0.2008826	-0.0945023	-0.164477	0.1073562	-0.1507148	0.0782281	-0.1325693	0.0443826	-0.118024	-0.0061925	-0.1107442	-0.0584478	-0.0939179	-0.1045556	-0.116712	0.1517393	-0.0774679	0.147478	-0.0378397	0.1379965	0.0011299	0.1238529	0.0380017	0.1032742	0.0723313	0.0767957	0.1033966	0.0460867	0.1327969	0.0136191	0.1620488	-0.0186336	0.1910422	-0.0478814	-0.058697	-0.1205935	-0.0332555	-0.120397	-0.0073666	-0.1177888	0.0185906	-0.1149925	0.0444902	-0.1125379	0.0705088	-0.1105022	0.0966231	-0.1086774	0.1227227	-0.1072944	0.1486666	-0.1061386	0.1754505	-0.1035891
8	PB13-0008	M	Morpho	hercules	20.00419	can	23	-0.1601944	0.1474522	-0.1711352	0.1267494	-0.1597629	0.0955279	-0.1419266	0.0618832	-0.1274743	0.0219244	-0.1172292	-0.0301461	-0.1100768	-0.0730404	-0.091743	-0.1109214	-0.0957594	0.1401802	0.0559268	0.066321	0.0456613	0.0688085	0.0311262	0.0658361	-0.0065883	0.0420701	0.056737	-0.0074909	0.1116995	-0.0403346	0.2018778	-0.0816342	0.2129864	-0.0740305	0.2049155	-0.0901414	-0.1655346	0.1081863	-0.1512313	0.0789823	-0.1342709	0.0446376	-0.1168339	-0.0052176	-0.1117996	-0.0588242	-0.1028429	-0.1091486	-0.1168001	0.150042	-0.0784496	0.1425418	-0.0395342	0.1318577	-0.001459	0.1169043	0.0354593	0.0979595	0.0704701	0.0732752	0.103534	0.0448095	0.1349533	0.0140774	0.1651382	-0.0174326	0.1942911	-0.0470145	-0.0594944	-0.1196859	-0.0339151	-0.1174903	-0.00799	-0.1144831	0.0181101	-0.1114907	0.0442393	-0.1090522	0.0704638	-0.1072356	0.0967667	-0.1055949	0.1230548	-0.1044051	0.1490622	-0.1035197	0.1755723	-0.1016922
9	PB13-0009	M	Morpho	hercules	20.11037	can	23	-0.1627923	0.1445663	-0.1685394	0.1248343	-0.1580612	0.0955573	-0.139242	0.0618709	-0.1269674	0.0212498	-0.119537	-0.0317292	-0.1070196	-0.0740292	-0.0907481	-0.1075174	-0.0973462	0.1405081	0.0563912	0.0668056	0.0468938	0.0693063	0.0163635	0.066599	-0.009187	0.0419316	0.0554599	-0.0064169	0.1209514	-0.0417435	0.199858	-0.0826353	0.2130393	-0.0760992	0.2030335	-0.0920816	-0.1646904	0.1081903	-0.1490215	0.0800814	-0.1320008	0.0451011	-0.1195276	-0.005943	-0.1126572	-0.0584367	-0.096048	-0.1054908	-0.1168769	0.1506704	-0.0781749	0.1448968	-0.0391545	0.1345327	-0.0009498	0.1195687	0.0357644	0.0998676	0.0702731	0.0742734	0.1028317	0.0452337	0.1343031	0.0146524	0.1653306	-0.0157537	0.195647	-0.0448213	-0.0592913	-0.1187533	-0.0340343	-0.1170216	-0.0080318	-0.1152974	0.0180022	-0.1136132	0.0439567	-0.1119969	0.0700596	-0.1105673	0.0963114	-0.108646	0.1225026	-0.1065146	0.1483403	-0.1042129	0.174586	-0.1009767
10	PB13-0011	F	Morpho	hercules	20.0818	can	23	-0.1542066	0.1425379	-0.1635416	0.1239965	-0.1571043	0.0945896	-0.141758	0.0580402	-0.1303868	0.0203137	-0.1270112	-0.0235324	-0.1191589	-0.0669094	-0.0950532	-0.1023405	-0.0931571	0.1346197	0.0561084	0.0647314	0.0419609	0.06806	0.0121571	0.0651415	-0.0095461	0.0424379	0.0521638	-0.0058391	0.1155817	-0.0395738	0.2058377	-0.0815116	0.2173961	-0.075235	0.2080924	-0.09351	-0.1610287	0.1098648	-0.1519482	0.0788702	-0.1350422	0.0446489	-0.1253546	-0.0060739	-0.1209471	-0.059963	-0.0979019	-0.106289	-0.1154343	0.1469416	-0.0780188	0.1398869	-0.039789	0.1282552	-0.0017052	0.1136528	0.0353356	0.095312	0.071564	0.0726698	0.1066926	0.0469847	0.1400969	0.0182679	0.1715805	-0.0125018	0.2000151	-0.0443704	-0.057511	-0.1143807	-0.0327651	-0.1145839	-0.0071868	-0.1137214	0.0187425	-0.1118019	0.0447833	-0.1100705	0.070961	-0.1083277	0.0972604	-0.1067944	0.1235525	-0.105508	0.1495296	-0.1041144	0.1761447	-0.1028699
