ID	Individual	sex	genus	species	size	flight	node	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46	ProcCoord47	ProcCoord48	ProcCoord49	ProcCoord50	ProcCoord51	ProcCoord52	ProcCoord53	ProcCoord54	ProcCoord55	ProcCoord56	ProcCoord57	ProcCoord58
1	PB13-0001	M	Morpho	hercules	15.98824	can	23	0.1694977	0.0156834	0.1836005	-0.0254077	0.1730156	-0.0888825	0.1143395	-0.1535736	0.0668637	-0.2177325	0.0095998	-0.2574766	-0.0690505	-0.2384628	-0.2019175	0.1426194	-0.1727967	0.1316696	-0.206638	0.1109874	-0.0889705	0.0836907	-0.0699848	0.0665587	-0.1577079	0.0469766	-0.0983599	-0.0023244	0.1759776	-0.0577214	0.1321137	-0.1218643	0.0848383	-0.1701944	0.0362079	-0.2228871	-0.0166272	-0.2454435	0.1390544	0.0553893	0.1113065	0.0788615	0.0790263	0.0967517	0.0458483	0.1109957	0.0122305	0.1236213	-0.0220709	0.1342924	-0.0566141	0.1424394	-0.0905988	0.1497395	-0.12448	0.154184	-0.1577032	0.1575102
2	PB13-0002	M	Morpho	hercules	14.33649	can	23	0.1584594	0.0239553	0.174217	-0.0342212	0.1557806	-0.0933872	0.1118862	-0.1471453	0.0737496	-0.2121862	0.0139892	-0.2701904	-0.0693114	-0.2588928	-0.1938607	0.1433516	-0.1656609	0.1292645	-0.1986288	0.1087743	-0.0835622	0.0789259	-0.0669733	0.0654174	-0.146221	0.0432255	-0.0905255	-0.0102535	0.1648156	-0.0549072	0.1276689	-0.116782	0.08457	-0.1693169	0.0389524	-0.2256511	-0.0194764	-0.2542166	0.1370755	0.0569467	0.108795	0.0800906	0.0779561	0.0990982	0.0467816	0.1170081	0.0139299	0.1331331	-0.0210904	0.1452192	-0.056648	0.1527656	-0.0915402	0.1559133	-0.1258502	0.1567187	-0.1592784	0.1573424
3	PB13-0003	M	Morpho	hercules	14.51418	can	23	0.1670536	0.0215762	0.186436	-0.0351954	0.1626238	-0.0939474	0.1160977	-0.1498469	0.0709527	-0.2106305	0.0121942	-0.2585992	-0.0676239	-0.248241	-0.1985538	0.1432117	-0.1675347	0.1314558	-0.2015419	0.1111648	-0.0935184	0.0858021	-0.0750143	0.0690681	-0.152769	0.0475186	-0.0946329	-0.0028132	0.1726427	-0.0592204	0.1332149	-0.1218507	0.086686	-0.1707052	0.0365494	-0.2232828	-0.0182336	-0.2471766	0.1375017	0.0557665	0.1094651	0.0786509	0.077036	0.0952908	0.0450742	0.1115693	0.0116071	0.1248608	-0.0226931	0.1359248	-0.0570762	0.145099	-0.0912249	0.1517213	-0.1255359	0.1540456	-0.1591825	0.158783
4	PB13-0004	F	Morpho	hercules	14.0929	can	23	0.168845	0.0274282	0.1790554	-0.0218081	0.1593165	-0.0794066	0.1186077	-0.1416627	0.0742361	-0.2089062	0.0029197	-0.2739349	-0.0856217	-0.2574484	-0.1954812	0.1471697	-0.1679584	0.1353858	-0.2022173	0.1162835	-0.0848758	0.0809685	-0.0637105	0.0614462	-0.1439471	0.0361835	-0.0857917	-0.0217304	0.163513	-0.0541195	0.1274665	-0.1161279	0.0856721	-0.1686558	0.0374069	-0.2226686	-0.0198078	-0.2584323	0.1410711	0.0612252	0.1089318	0.0799202	0.0767387	0.0954477	0.044516	0.1103854	0.0117047	0.1245168	-0.0216964	0.1376191	-0.0560229	0.1463522	-0.0903307	0.1510525	-0.1246002	0.1546013	-0.1579395	0.1589159
5	PB13-0005	F	Morpho	hercules	14.62372	can	23	0.1581463	0.043391	0.1806259	-0.0215601	0.1668087	-0.092433	0.1222171	-0.1591385	0.0747676	-0.2193598	-0.0028151	-0.2585175	-0.0935749	-0.242031	-0.1981866	0.1466997	-0.1674924	0.1329902	-0.2027963	0.1103036	-0.0704757	0.0747211	-0.0544003	0.0581342	-0.142922	0.0375678	-0.0815899	-0.0220833	0.1670344	-0.0540956	0.1378184	-0.124292	0.0937163	-0.1759133	0.0377906	-0.2246798	-0.0203642	-0.2472586	0.1359279	0.0624086	0.104835	0.0799205	0.0732405	0.0961188	0.0411419	0.1114851	0.0086915	0.1267027	-0.0250655	0.1393652	-0.0594065	0.1490387	-0.0937999	0.1551126	-0.1281338	0.1579793	-0.161739	0.1594234
6	PB13-0006	M	Morpho	hercules	14.34147	can	23	0.1603587	0.0208972	0.1725017	-0.0371152	0.156948	-0.0955401	0.1145364	-0.1504794	0.0742624	-0.2152931	0.0223215	-0.2687456	-0.0524043	-0.2560059	-0.193598	0.1495373	-0.1679258	0.1358516	-0.1999581	0.1183177	-0.0949947	0.0879566	-0.0762692	0.0717594	-0.1516321	0.048003	-0.0952601	-0.0045794	0.1613806	-0.054284	0.1280848	-0.1169991	0.084191	-0.1687271	0.04067	-0.2268792	-0.0175196	-0.2495488	0.1352261	0.0529763	0.1085638	0.0761382	0.0786504	0.0961754	0.0463171	0.1119671	0.0130146	0.1253426	-0.0211566	0.1364301	-0.0554943	0.1453476	-0.0896119	0.1521728	-0.1236996	0.1568131	-0.1575025	0.1585108
7	PB13-0007	M	Morpho	hercules	15.166	can	23	0.1524804	0.0308005	0.1766581	-0.0321309	0.1625662	-0.0908849	0.1163874	-0.1594838	0.0755071	-0.2158951	0.0090216	-0.2655999	-0.0749968	-0.2506099	-0.1916406	0.1427457	-0.1657955	0.1285335	-0.1963526	0.107614	-0.0819435	0.0805432	-0.0650697	0.0621148	-0.1514422	0.0440908	-0.0952673	-0.0064819	0.1668395	-0.0547739	0.1335672	-0.1209827	0.0867327	-0.1698835	0.0378144	-0.2236714	-0.0195867	-0.2530136	0.135303	0.0561607	0.1092198	0.0809684	0.0791197	0.1021792	0.0462074	0.1186696	0.0120488	0.1310946	-0.022564	0.1416297	-0.0573969	0.1497488	-0.0919727	0.154222	-0.1261886	0.1558465	-0.1592564	0.1564493
8	PB13-0008	M	Morpho	hercules	14.74976	can	23	0.1586592	0.0291017	0.1829757	-0.0376864	0.1636603	-0.0938792	0.1154386	-0.1501244	0.0734708	-0.2111695	0.0064034	-0.2676876	-0.0689297	-0.2540218	-0.1956519	0.1438295	-0.1709559	0.1285669	-0.2004869	0.1102012	-0.0870954	0.082187	-0.0646552	0.0620977	-0.1506259	0.0439804	-0.0935989	-0.0051256	0.170311	-0.0572885	0.1292383	-0.1183039	0.0822505	-0.1673605	0.032896	-0.2185489	-0.019038	-0.2525544	0.138546	0.0572338	0.1119101	0.0824927	0.0795153	0.1011468	0.0466093	0.1163996	0.0129474	0.1298306	-0.0218608	0.1400983	-0.0567541	0.1471136	-0.0911831	0.1508993	-0.1254159	0.1529916	-0.1585804	0.1555798
9	PB13-0009	M	Morpho	hercules	14.71726	can	23	0.1474509	0.0205991	0.172672	-0.038488	0.158722	-0.0940452	0.1196486	-0.1649351	0.0764427	-0.2189606	0.021745	-0.2538385	-0.0528604	-0.2485338	-0.1953273	0.1526176	-0.1647047	0.1377907	-0.2004595	0.1154329	-0.0878523	0.0858807	-0.070589	0.0667807	-0.1525776	0.0485369	-0.0954137	-0.0031895	0.1652605	-0.0546916	0.1403402	-0.1242473	0.0957616	-0.1768311	0.0402079	-0.2262841	-0.0189463	-0.2434875	0.127257	0.0487906	0.1043284	0.0741454	0.074823	0.0940256	0.0427634	0.1096316	0.0101929	0.1245038	-0.0233072	0.1376511	-0.0570168	0.1495803	-0.0914807	0.1573798	-0.1261902	0.161288	-0.1608908	0.1628973
10	PB13-0011	F	Morpho	hercules	14.90799	can	23	0.1531697	0.0251077	0.174863	-0.0353606	0.1550827	-0.0942138	0.1109601	-0.1551166	0.0731057	-0.2168958	0.0230509	-0.26254	-0.0580961	-0.253158	-0.1985877	0.1555012	-0.1703726	0.1393606	-0.205908	0.1193007	-0.0790416	0.0835865	-0.0626756	0.0674928	-0.1421844	0.0404162	-0.086746	-0.0129028	0.1624142	-0.0541008	0.1316802	-0.1196628	0.0887913	-0.1717113	0.0408724	-0.227544	-0.0186375	-0.2489361	0.1332564	0.0535546	0.1056227	0.075647	0.0749813	0.0940414	0.0434588	0.1107477	0.010782	0.1256058	-0.0233483	0.1371446	-0.057663	0.1466746	-0.091831	0.154175	-0.1261904	0.1590901	-0.160809	0.164696
11	PB13-0012	F	Morpho	hercules	13.40631	can	23	0.1785581	0.0242673	0.1941018	-0.0276914	0.1701952	-0.0809391	0.1274622	-0.1448449	0.0723459	-0.2049247	-0.0059081	-0.2554618	-0.0958388	-0.2520897	-0.2024553	0.1455522	-0.1711753	0.1317866	-0.2098556	0.1162554	-0.0848641	0.0759477	-0.0662878	0.0589207	-0.1486691	0.0325093	-0.0968039	-0.015369	0.173976	-0.0598254	0.1351268	-0.1222687	0.0881831	-0.1708605	0.0306497	-0.2126219	-0.0201856	-0.2421593	0.1420773	0.0614465	0.1106238	0.0807995	0.0783577	0.0974579	0.0453026	0.1115554	0.0114525	0.123357	-0.0229322	0.1334212	-0.0574536	0.1409602	-0.0916139	0.1470127	-0.1257307	0.1513221	-0.1586386	0.1564849
12	PB13-0013	F	Morpho	hercules	14.95104	can	23	0.1653623	0.0256378	0.1823038	-0.0318807	0.1613651	-0.0874646	0.1177443	-0.1507548	0.0705946	-0.215589	0.0026198	-0.2608187	-0.0721453	-0.2477626	-0.2096065	0.1435722	-0.1724976	0.1345581	-0.2086952	0.1145305	-0.0800849	0.0791492	-0.0614682	0.0614307	-0.1438385	0.041167	-0.081689	-0.0164629	0.1681306	-0.0568481	0.1331235	-0.1211391	0.0881679	-0.1714939	0.0362652	-0.2213349	-0.017951	-0.245448	0.1365089	0.0564125	0.1066734	0.0761132	0.0766694	0.0955704	0.0449887	0.1124196	0.011875	0.1266224	-0.0222184	0.1385522	-0.056608	0.1482046	-0.090999	0.1547291	-0.1253586	0.1581238	-0.159232	0.160204
13	PB13-0014	M	Morpho	hercules	14.27261	can	23	0.157607	0.0203302	0.1804016	-0.0286819	0.1642173	-0.0904466	0.117724	-0.1519745	0.0708768	-0.2138315	0.0076211	-0.2594065	-0.0664767	-0.2540099	-0.1946955	0.1454786	-0.1673189	0.1308733	-0.2026284	0.1130816	-0.0871104	0.0810391	-0.0693745	0.0620738	-0.1530249	0.044757	-0.1005006	-0.0028221	0.1701208	-0.0563701	0.1398453	-0.1262932	0.0871167	-0.1702738	0.0364832	-0.2216259	-0.0195379	-0.2458268	0.1354905	0.0543181	0.1105018	0.0801456	0.0787488	0.0993382	0.0458041	0.1143396	0.0121001	0.1269329	-0.0223423	0.1373201	-0.0567691	0.1460518	-0.091006	0.1520213	-0.1252083	0.1553032	-0.1586656	0.1581579
14	PB13-0015	M	Morpho	hercules	14.87419	can	23	0.1588594	0.0238159	0.1747146	-0.0361013	0.1556067	-0.0945352	0.1148062	-0.1476327	0.0774214	-0.2145398	0.0155331	-0.2643105	-0.0511277	-0.2628737	-0.1959145	0.1514867	-0.1651202	0.1371312	-0.2024225	0.1212514	-0.0905835	0.0839056	-0.0691389	0.0621222	-0.1469231	0.0438236	-0.0948892	-0.0068222	0.1612809	-0.0540397	0.1284525	-0.117226	0.0833464	-0.1686051	0.0389532	-0.224351	-0.0197768	-0.2517261	0.1359624	0.0545052	0.1093881	0.0785781	0.0775714	0.0964165	0.0446015	0.1100505	0.0113203	0.1228083	-0.0225455	0.1344925	-0.0563188	0.1452347	-0.0900534	0.1538666	-0.1242107	0.1593938	-0.1587935	0.1638804
15	PB13-0016	M	Morpho	hercules	15.16644	can	23	0.1569272	0.0240533	0.1810555	-0.0255327	0.1645942	-0.0827291	0.1159437	-0.1485487	0.0701028	-0.2169086	0.0055269	-0.2659933	-0.0663957	-0.2541032	-0.1936148	0.1467127	-0.1692404	0.1323858	-0.2008002	0.1138905	-0.0860961	0.0837623	-0.0673293	0.064774	-0.1505648	0.0456517	-0.0983344	-0.0035808	0.171306	-0.0567936	0.1325388	-0.1203421	0.0869175	-0.1700682	0.0403152	-0.2262819	-0.0187217	-0.2512691	0.1343755	0.0534235	0.1076422	0.0764836	0.078127	0.0970509	0.0456445	0.1128541	0.0117403	0.1243354	-0.0225806	0.1346158	-0.0565272	0.144856	-0.0903725	0.152572	-0.1243769	0.1570199	-0.1578028	0.1577096
16	PB13-0017	F	Morpho	hercules	13.6237	can	23	0.1625978	0.0289464	0.1813966	-0.0251253	0.1615487	-0.0936932	0.1167841	-0.1536476	0.0744774	-0.2160411	0.0061324	-0.265038	-0.0669663	-0.2548995	-0.201431	0.1522777	-0.1717239	0.1373194	-0.2086523	0.1172555	-0.0833044	0.0816222	-0.0575445	0.0583961	-0.1487452	0.0487487	-0.0885969	-0.0073521	0.1648483	-0.0550378	0.1334424	-0.121268	0.088176	-0.1712636	0.0351628	-0.2196417	-0.0179614	-0.2425481	0.1379935	0.0575108	0.1082389	0.0782394	0.0763119	0.0946893	0.0440746	0.109778	0.0107559	0.1224101	-0.0234704	0.132678	-0.0575967	0.1419617	-0.0914785	0.1492631	-0.1254236	0.1547782	-0.1590463	0.1596816
