node_names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235
Papilio_ambrax,-35.46052,-72.09895,-53.958755,-106.0889,-68.75475,-144.18852,-82.010635,-182.97968,-93.86714,-222.19545,-104.4099,-261.5806,-113.62686,-302.04184,-122.92108,-342.49118,-135.84778,-381.5071,-158.80966,-413.24734,-186.7691,-440.04538,-210.37975,-471.46884,-242.30869,-489.356,-280.76566,-487.81192,-318.71634,-480.50235,-353.9643,-464.77618,-386.49298,-447.10126,-409.05713,-417.19882,-433.95355,-389.2384,-448.18243,-353.4364,-461.91937,-317.14233,-477.15408,-283.30814,-481.20834,-245.2201,-486.1408,-206.56952,-482.93524,-168.82751,-468.92105,-132.43285,-452.54404,-97.313736,-427.52347,-66.35923,-397.2797,-39.94038,-370.4532,-14.611234,-411.72656,-3.859544,-455.67706,11.720114,-492.2031,39.776627,-522.1982,75.52171,-545.4161,116.23291,-565.4106,159.49533,-583.4064,203.53156,-600.56366,247.41473,-620.17737,290.12015,-638.8346,333.33453,-652.9383,378.41098,-655.8131,426.12653,-638.96014,469.2558,-600.2994,494.00012,-552.73755,502.93524,-503.2124,500.51633,-456.25647,489.75677,-411.36536,473.26007,-368.92123,452.45673,-327.3889,428.20303,-288.06766,401.96176,-250.15392,373.42548,-213.40471,341.57437,-178.29907,307.07706,-146.84297,271.48157,-117.08253,232.53291,-90.05376,192.50903,-64.68217,151.59702,-40.34612,113.00715,34.322826,112.84056,59.31984,148.63776,85.04438,189.21404,112.45495,228.30115,142.21974,266.3339,175.26389,301.99744,210.22057,335.6607,247.11052,367.20193,285.8075,396.20233,325.8434,422.32437,367.25583,445.9657,409.9604,466.49704,454.50818,482.77353,501.3388,493.56308,551.00476,496.8474,598.6909,489.1201,638.0524,466.50467,658.58075,426.50882,658.1454,379.3828,645.4832,333.3325,626.9996,290.7078,606.65936,248.15903,588.3074,204.44942,570.38605,160.6908,549.1882,118.56062,527.09503,77.44647,497.13223,41.49441,461.55542,13.708636,419.60922,-4.24408,378.55734,-17.331133,405.7123,-44.012074,434.47128,-71.60635,458.02887,-102.647514,474.13736,-137.44223,486.2869,-174.31566,489.80243,-212.13237,482.35037,-248.97588,476.7492,-285.40878,463.5508,-321.0165,448.23492,-356.15845,432.021,-390.5276,408.86005,-420.28662,384.09827,-446.85486,351.19238,-465.10706,315.1969,-478.83627,276.74664,-485.63937,238.62032,-484.1874,207.10878,-462.53265,182.82294,-432.3568,154.9616,-407.55856,133.32845,-375.45532,119.82709,-337.8593,110.99672,-297.78342,101.64433,-257.92285,91.312035,-218.69264,79.21901,-179.71924,65.88752,-141.76025,49.629185,-104.5316,29.860062,-73.82
Papilio_antimachus,-27.990059,-95.66516,-38.1994,-120.48066,-49.873028,-146.53255,-61.784245,-171.69994,-76.65069,-196.0871,-90.81866,-219.89311,-103.07487,-244.9206,-118.773796,-268.78873,-133.46391,-291.33023,-153.06183,-312.37448,-172.4975,-332.56323,-197.08511,-343.3167,-225.58919,-345.90244,-253.80144,-346.33453,-281.746,-341.93802,-309.6134,-335.51184,-334.96603,-323.43542,-357.10608,-307.74728,-379.96747,-291.6442,-393.7788,-268.09705,-414.38223,-248.06056,-428.36975,-225.01233,-434.91714,-198.98558,-444.92648,-173.01717,-439.78085,-147.60292,-428.27008,-122.27126,-413.85507,-98.71014,-393.04898,-81.092,-368.24643,-68.88013,-347.3332,-54.643772,-400.12985,-42.885345,-453.55212,-20.361807,-494.76633,18.591919,-529.68933,60.29154,-567.2154,102.38553,-606.0109,143.70522,-651.31696,179.01263,-698.1094,212.53625,-744.97186,245.21094,-789.2477,281.18707,-827.94696,320.19495,-852.5093,370.54355,-831.67896,417.4767,-778.02277,433.8809,-718.29675,433.52975,-661.7046,424.27866,-606.6859,407.88715,-554.6149,386.40305,-503.13818,361.60788,-456.46152,336.195,-409.86633,309.7425,-360.64905,281.3583,-312.97455,251.40532,-264.45056,218.4797,-217.75258,186.85587,-172.20187,150.44261,-127.44253,112.19945,-83.6098,72.11962,-40.2539,35.57368,45.843628,34.724064,89.05078,72.230415,133.22539,112.07172,176.61052,152.44455,223.80836,185.85448,269.98654,220.39755,319.60062,252.53905,368.11023,282.7324,415.9186,312.97186,464.3687,339.93027,513.9162,367.66223,565.3019,392.71497,616.9711,413.45197,670.5018,430.4398,727.2736,441.75974,787.4905,444.4548,838.535,421.4657,840.24146,367.86755,811.45123,320.08133,773.23846,278.1755,731.5345,242.85275,685.3778,210.40675,639.90985,175.17805,597.327,138.33862,560.6282,94.791405,523.2678,50.65091,488.32516,6.299713,443.29352,-27.469616,391.44928,-43.386127,350.64542,-55.557995,375.80823,-69.221855,399.1074,-84.1915,418.60062,-102.099,433.01407,-125.514336,443.32092,-152.01028,444.66806,-179.94177,436.54248,-204.54514,430.67093,-232.6807,410.2825,-252.96588,392.25757,-273.71417,377.63098,-296.7166,353.8916,-310.166,329.5509,-323.91324,304.25406,-335.60458,276.2379,-341.44742,248.17625,-345.3472,220.19286,-343.29385,192.27774,-339.99185,169.47112,-323.7532,151.65518,-302.7205,134.83562,-280.3243,118.3131,-258.35114,103.30197,-234.66785,90.71536,-209.95303,76.92062,-185.9938,65.13988,-161.34308,51.428356,-136.73163,41.773754,-110.32503,34.999554,-85.85512
Papilio_aristodemus,-31.72697,-62.40922,-66.355835,-92.80992,-94.18854,-135.29694,-116.5932,-180.03801,-134.33183,-228.41223,-148.8648,-278.8912,-167.05476,-328.61057,-195.79202,-367.73416,-234.43562,-396.77402,-263.78027,-432.36908,-301.62665,-435.10406,-345.02435,-428.0952,-388.38388,-450.80286,-422.96353,-442.1409,-461.1045,-454.28378,-503.92462,-479.98828,-539.8033,-482.52695,-539.10846,-459.14865,-505.7558,-424.83157,-466.90994,-391.23627,-446.30948,-351.30978,-455.1697,-318.24188,-444.3967,-270.24054,-468.27267,-231.28265,-456.2574,-183.38037,-471.2184,-135.65282,-453.5433,-87.975655,-429.07803,-48.4364,-389.56104,-17.541416,-351.1759,13.459338,-395.24844,24.81135,-436.9163,40.956055,-470.06705,67.16895,-494.05072,104.02169,-508.4366,145.86005,-522.76404,189.36186,-530.0966,234.0441,-540.1768,278.55917,-554.6073,322.2959,-571.7288,363.0559,-588.6855,403.40143,-594.74396,446.60397,-579.1978,485.7811,-539.69324,503.32617,-493.3134,506.92792,-447.8541,498.72083,-405.01724,483.80252,-366.20584,464.79877,-328.4891,440.24738,-291.77924,412.6538,-257.4975,382.38678,-224.47554,350.3551,-194.52327,315.85138,-166.08623,279.5628,-139.96417,241.96727,-116.63072,204.43243,-92.076355,166.45341,-67.22685,127.61788,-40.255608,93.610115,36.77274,90.28332,65.858925,124.31887,89.63452,164.1701,115.03735,203.10007,139.53452,241.31392,165.03006,278.2488,193.67133,314.1904,223.98245,349.82498,257.88553,383.22983,293.67905,412.65494,330.84338,440.6554,369.64868,464.1658,411.2135,483.36346,454.7012,497.53214,500.93533,504.24042,546.8129,501.65137,586.66675,482.70773,600.4745,441.71265,592.657,397.7919,573.8681,355.88763,558.2056,313.73563,542.3705,271.54944,530.82697,228.35393,524.68256,182.26242,508.53513,139.2071,491.3617,97.444626,467.3511,60.9348,430.66876,35.85327,387.61563,21.524982,345.0365,13.05621,385.05334,-17.767437,428.1574,-44.213898,456.61337,-84.93408,472.6931,-132.42914,457.9377,-173.16786,458.65775,-221.19183,451.93942,-264.2864,459.13306,-309.41705,438.13254,-345.6774,460.59598,-386.8621,499.7277,-418.4847,536.5273,-449.57812,536.6344,-479.3569,495.6147,-470.5856,455.6076,-448.83914,419.24222,-439.13132,383.09384,-445.4315,341.08084,-425.77948,303.4897,-432.12512,265.3536,-431.2494,233.31915,-399.01257,196.70311,-369.34146,169.63342,-329.23145,151.88591,-280.35257,137.93277,-229.06516,121.33604,-181.19632,96.211,-135.05022,67.822105,-91.82446,34.82849,-55.913483
Papilio_cresphontes,-33.50031,-40.82692,-61.824047,-78.11381,-85.43851,-121.9738,-107.65195,-167.33112,-127.169075,-213.86256,-141.32642,-262.97522,-157.93611,-310.79486,-188.45134,-346.23657,-216.77649,-384.49323,-244.15547,-420.3512,-285.61755,-431.78738,-329.1065,-432.49356,-366.32715,-418.23428,-408.23038,-420.08047,-441.5818,-457.39258,-472.54138,-496.63687,-505.5424,-501.58408,-493.05383,-460.01587,-460.66992,-421.1421,-426.9156,-382.44904,-408.76895,-339.51297,-426.98056,-300.31107,-434.61307,-258.55112,-443.80502,-216.19298,-455.11258,-175.69002,-454.1451,-128.77408,-445.74496,-85.86176,-415.00116,-45.99414,-379.83264,-10.895106,-342.553,19.21657,-388.35513,22.381998,-434.11972,32.736668,-469.8035,60.711346,-493.37378,99.52552,-511.61258,142.36815,-528.8567,183.71947,-548.23987,225.72401,-568.0645,265.90884,-590.7278,306.282,-614.2867,345.47,-637.1411,384.7599,-652.06757,429.10385,-638.3119,470.20428,-596.0444,487.8805,-546.9726,490.3664,-499.06314,483.33508,-453.9594,469.3136,-410.72144,450.14798,-369.8666,427.68103,-330.1814,401.88928,-291.94064,373.80795,-254.73712,344.0324,-219.71515,311.76245,-185.94235,277.34888,-153.7739,242.46631,-122.07315,206.33835,-92.27021,169.10793,-64.544624,130.24437,-36.13215,94.31622,35.53411,94.87314,64.074326,128.26979,92.346214,167.1604,122.46346,204.61806,154.13327,240.47523,186.62585,275.8382,220.75868,310.29944,256.28662,342.9275,293.52847,373.14215,331.66635,401.06384,371.74557,426.51764,412.9482,449.57516,456.0146,468.91888,501.30002,483.015,549.08954,490.4221,598.5225,487.93942,640.66724,469.53387,654.2103,427.68408,638.72736,383.46558,614.4194,343.29062,591.8072,303.15115,568.99506,263.40744,547.3568,222.41597,529.51086,181.32147,512.0694,138.99657,493.17734,97.61103,470.62634,58.57126,434.42188,30.1646,388.61102,19.85078,343.6883,16.741224,380.98776,-14.107183,414.74866,-49.26295,444.67886,-88.389755,454.02713,-131.30074,454.97662,-178.83168,442.32794,-218.74724,436.4904,-261.6416,425.26602,-301.90598,410.0863,-342.468,429.34402,-385.06287,463.70828,-422.5654,495.28113,-460.94693,506.19714,-502.457,469.577,-492.5436,440.70047,-451.58716,406.1987,-415.5093,363.29572,-419.35318,326.45285,-432.23175,282.46732,-431.65323,241.87903,-419.63742,215.6017,-379.58408,185.49377,-343.44757,154.63255,-307.48337,139.41887,-259.4929,125.430954,-210.56151,105.42585,-164.06477,83.24614,-119.022255,59.575363,-74.79564,30.429562,-40.199177
Papilio_deiphobus,-34.99542,-83.10451,-57.44664,-119.42415,-73.61244,-159.52652,-87.983894,-200.36292,-101.19368,-241.90343,-112.85341,-283.9977,-123.33063,-326.50748,-137.48915,-366.86633,-156.75645,-403.82715,-180.96367,-436.3037,-209.93729,-465.5879,-241.34521,-487.6435,-279.12167,-496.77185,-320.00742,-494.88675,-354.33917,-497.0017,-386.85062,-496.75378,-417.21777,-479.68024,-419.3002,-442.20248,-424.23706,-407.294,-433.65036,-370.52295,-446.0806,-330.05185,-460.13425,-291.1833,-464.5811,-249.8635,-465.96518,-209.71234,-462.44235,-169.18445,-453.87305,-129.9586,-432.8869,-93.20882,-407.2523,-59.060482,-376.9798,-29.504513,-343.2438,-3.8919773,-383.57626,11.950064,-427.7521,30.399101,-463.2598,63.210236,-490.58163,104.16257,-512.68976,147.63368,-532.65924,191.86116,-550.8061,236.52809,-570.73175,280.84738,-594.65375,322.7237,-620.3904,364.3817,-641.49615,407.94275,-648.0973,452.50677,-628.1802,490.00906,-584.58356,507.29843,-535.2088,509.39792,-484.69327,503.90485,-437.3818,491.51315,-392.48267,473.58038,-349.9091,451.65436,-308.14716,426.00513,-267.72443,398.20404,-229.58209,368.13608,-192.06512,336.03937,-158.35135,307.68002,-128.88623,271.6995,-100.00948,234.43962,-73.591545,196.35231,-54.344414,156.85645,-34.574238,113.77977,31.175375,113.47449,52.394073,155.9741,75.09823,198.27692,101.57814,237.96716,130.71307,276.23407,164.3369,311.92545,199.71072,346.72342,237.83524,378.3152,277.332,408.66644,317.36996,436.13727,358.43594,460.8895,401.35748,482.67657,446.60422,498.88284,494.0354,510.3084,544.3337,514.09,593.39264,509.3036,633.88306,486.6515,647.035,443.56882,633.6542,398.48404,610.4074,355.96454,585.61926,315.03113,563.99774,272.1293,545.69214,227.4668,527.2607,183.18633,507.9938,138.94974,484.79944,96.81081,456.95215,58.207413,421.2366,27.363585,375.42593,12.059204,331.70087,-0.024209157,365.67328,-26.849476,400.0292,-54.84552,425.04373,-90.27868,446.2306,-127.093124,461.46976,-165.28952,463.55588,-205.99345,467.27484,-246.90773,461.60974,-288.6221,447.8205,-328.17905,436.64447,-369.01764,420.54776,-405.27377,414.9962,-441.5077,414.92462,-478.64172,390.22754,-499.9117,357.0969,-505.35507,322.02682,-503.91202,283.559,-503.14716,245.31213,-491.4152,213.72554,-470.26953,182.7016,-443.5796,155.73085,-412.06287,136.78438,-374.8186,123.75365,-332.67715,113.12188,-289.5173,102.21753,-246.61942,89.487465,-204.52965,75.05077,-163.70375,58.684925,-122.830956,35.818184,-87.75378
Papilio_gigon,-34.288857,-83.8594,-54.872284,-118.268745,-73.47735,-157.72308,-90.95707,-196.7707,-106.43718,-237.84271,-118.93036,-280.58328,-129.40225,-324.55634,-152.94435,-359.80087,-179.24593,-391.4682,-205.4941,-426.1044,-246.59943,-432.5729,-289.53348,-426.34064,-330.94943,-415.04904,-366.6578,-426.07184,-391.10654,-460.4375,-422.90118,-481.60248,-441.4144,-461.81247,-425.55176,-428.10797,-400.9365,-393.16367,-402.6401,-357.998,-421.36526,-323.95605,-436.94186,-285.33188,-455.67554,-248.13162,-468.1263,-208.0514,-474.5146,-168.00346,-462.80963,-127.2376,-442.05658,-91.27794,-409.79276,-63.021473,-375.97232,-38.251385,-344.252,-14.856654,-385.2531,-7.1199284,-433.0961,3.8182003,-473.08893,29.212013,-505.36206,65.78893,-530.1281,107.42564,-550.4086,151.81961,-571.71735,196.70334,-591.1355,241.58167,-613.0322,285.96664,-638.2261,328.72897,-662.4187,372.0899,-677.79315,419.09793,-665.8139,462.84915,-627.36285,488.67392,-576.7314,495.80096,-524.19635,492.54996,-474.30835,482.069,-426.94452,467.09213,-380.90057,448.38403,-336.72165,426.98752,-293.81317,403.12665,-251.76193,375.38016,-212.30788,345.46255,-174.0927,313.06955,-137.79636,277.165,-106.89003,238.03,-80.74466,195.32825,-58.768356,150.59358,-37.769672,107.69998,42.713062,110.40497,64.88376,151.79504,87.03095,196.0268,113.394585,238.13968,144.48059,276.55276,180.0245,311.98804,217.88536,343.92624,257.27792,373.61426,298.9212,400.3554,342.1478,424.76117,386.19742,445.34225,432.29816,463.80316,478.68015,478.97516,527.90485,488.97385,579.941,491.57095,629.7992,484.23807,669.1626,459.14886,678.58435,414.72766,663.0638,368.51224,638.5572,325.50717,613.6439,283.62744,589.98083,240.51547,570.8142,197.1714,550.42255,153.09459,530.7391,109.05009,506.50806,67.614975,474.62766,31.30443,434.7012,5.7221932,388.08286,-6.7213373,342.24872,-12.204554,372.45337,-35.855515,407.29785,-60.8074,438.11667,-90.37147,459.20325,-124.74229,472.08728,-164.80745,468.08224,-204.83633,456.98386,-246.0332,438.22125,-282.41162,421.37134,-319.4823,406.94815,-354.48508,400.22235,-388.93042,415.19827,-423.69083,428.44034,-455.55386,411.98636,-472.68793,382.7848,-454.33234,355.7697,-424.68433,320.66995,-415.66782,279.90662,-423.35583,239.71371,-425.77054,203.29076,-413.94696,177.41818,-379.65686,152.5268,-349.9647,130.63225,-315.21286,119.337006,-271.82162,107.73081,-229.514,92.04178,-188.3638,73.49241,-148.56772,54.902798,-110.13364,32.883938,-78.97134
Papilio_glaucus,-38.62295,-29.940376,-64.83464,-71.63005,-86.81946,-117.75464,-107.35782,-164.3318,-127.42537,-210.87482,-145.66531,-258.22763,-162.58215,-305.57697,-182.67395,-351.6492,-213.61327,-389.12143,-243.77771,-424.99396,-273.936,-455.43045,-316.92166,-457.77023,-355.3851,-457.5532,-393.71805,-442.7278,-436.99548,-457.6787,-469.44992,-494.0739,-499.95157,-517.0224,-489.5114,-482.80246,-457.93945,-442.40726,-428.19037,-401.37073,-427.4835,-359.17642,-442.11383,-317.27695,-450.4912,-271.63824,-463.1513,-227.0948,-466.06186,-180.55548,-464.97742,-133.1535,-452.50632,-86.478,-429.1111,-42.04975,-395.61142,-5.928277,-361.35403,25.380661,-405.01358,31.842417,-447.68195,42.762897,-482.06866,67.83153,-507.73694,103.35109,-523.9644,143.93427,-537.6634,185.64441,-549.0376,227.93665,-558.65625,271.45087,-569.97485,314.7242,-582.6371,357.34497,-594.8383,400.15848,-603.70337,443.98898,-594.4243,485.5938,-553.87714,500.6469,-507.19293,500.23224,-462.8875,490.8758,-421.51797,475.1352,-382.38873,454.63998,-344.85895,430.74716,-308.26334,404.5809,-273.03235,376.78088,-238.58011,348.28308,-204.10501,318.1103,-172.06519,286.01263,-141.50298,253.10892,-111.96774,219.136,-84.694145,183.41641,-59.54328,146.08376,-36.086407,109.41705,33.732956,107.638214,58.09762,141.75816,83.62083,179.35547,110.638275,214.93423,140.17065,248.39917,171.18933,281.57996,203.11346,313.5308,237.22612,343.94296,272.27863,372.88232,307.6822,401.13745,344.60483,427.41364,382.1592,451.46912,421.53305,471.8506,463.0629,488.24548,507.38525,498.21997,553.883,499.41605,594.2522,484.27618,605.82697,444.00055,597.6749,399.93658,584.90106,357.20096,572.2308,314.05392,560.9335,271.1977,551.7067,227.6404,540.0673,184.61111,526.5356,142.12411,510.81503,100.9825,485.63092,65.25298,449.6613,40.353302,406.03693,29.763538,363.7937,22.264368,398.88123,-9.69304,431.739,-45.874866,453.78018,-89.948265,465.65097,-135.70984,465.67148,-183.18245,464.18182,-229.59291,450.21747,-273.3827,444.4173,-319.1936,426.61694,-359.05933,430.04095,-402.91837,458.12277,-442.57346,487.32913,-482.5321,495.28986,-515.42505,464.93015,-491.8575,432.02148,-456.83023,388.93307,-444.87363,351.79694,-458.42413,313.57898,-455.84863,271.2675,-453.59552,242.06102,-422.48224,212.41855,-386.9433,184.61818,-348.17554,163.81229,-302.89938,145.3807,-257.0164,126.85585,-210.36522,107.43296,-164.68924,87.18786,-118.6704,65.1087,-73.15494,38.40957,-33.38249
Papilio_memnon,-33.79963,-79.88852,-51.221996,-113.66457,-65.48594,-152.13734,-77.95971,-191.33304,-88.78641,-231.03911,-98.2606,-271.2264,-106.55396,-312.09882,-116.09849,-352.44888,-129.74454,-390.60413,-151.67758,-423.7609,-177.41884,-452.22388,-201.90681,-481.6762,-234.41528,-495.43784,-271.99045,-493.35333,-307.77612,-485.07764,-341.08493,-469.9579,-370.60516,-448.42468,-392.43423,-419.0797,-408.76544,-386.37976,-424.47232,-352.52975,-436.20065,-316.12357,-446.10382,-279.1913,-455.26608,-242.205,-459.04898,-204.84921,-455.42236,-167.02344,-445.2018,-130.24414,-425.50815,-95.80805,-401.09134,-64.081795,-372.05795,-36.19283,-346.02988,-10.551053,-393.05817,-1.5341326,-437.7846,17.118122,-472.94983,49.905724,-501.16492,90.47134,-523.78143,134.5751,-543.8146,179.92917,-564.0284,224.81538,-586.8956,268.24792,-614.4346,309.71005,-643.908,350.138,-671.32477,391.53973,-686.7309,437.49338,-675.06226,479.6095,-633.0307,500.20636,-581.4497,503.76913,-530.1121,498.27438,-480.81744,486.49594,-434.07712,469.2945,-388.81097,448.03537,-345.0644,423.7743,-303.0403,396.49002,-262.07178,366.876,-222.46164,334.545,-184.83122,299.941,-149.57391,262.49362,-117.325554,223.61128,-87.677635,182.76785,-60.98836,140.5912,-35.57194,101.4953,34.643932,104.10649,61.14896,143.3147,88.290306,185.51073,118.31963,226.69434,151.12766,266.3371,186.77821,303.78946,224.77324,339.18124,264.83234,371.64813,305.9285,401.54083,348.81235,429.00494,392.56195,453.6098,438.0216,474.99374,485.4612,491.8483,535.3415,503.3125,587.7789,508.34113,639.823,503.76334,678.61975,480.6983,687.48895,436.64423,670.60724,391.0526,642.4687,349.34958,612.97723,308.21915,585.68134,266.51993,562.70276,222.05826,542.0531,176.72379,522.08624,130.834,498.4768,86.67407,469.40778,46.42886,432.44022,15.092736,386.58722,-2.3739738,340.8001,-11.931273,369.30447,-37.844936,399.44305,-65.9138,424.74658,-97.984406,442.81433,-133.03198,456.1185,-169.90826,458.60498,-207.97044,455.468,-246.30165,447.34113,-283.569,436.18665,-320.38297,426.0596,-357.63904,411.55423,-392.1025,393.5365,-424.4395,373.03268,-454.82825,342.14316,-476.36987,308.57785,-492.177,272.1986,-498.6257,233.87552,-499.5397,200.00815,-484.38184,175.3164,-455.14114,149.76485,-426.60486,128.60591,-392.76926,114.940094,-354.4935,105.33425,-313.70184,96.43754,-272.56177,86.760216,-231.67906,76.06881,-191.06488,63.584866,-151.45378,49.509373,-112.38795,30.855413,-80.18583
Papilio_phestus,-32.778553,-98.389984,-61.408333,-131.15785,-88.78777,-163.50525,-108.66544,-200.44954,-129.6688,-238.90431,-144.12401,-280.29617,-156.517,-321.45422,-167.24385,-362.6904,-184.41167,-399.24942,-215.09505,-424.09964,-249.44077,-443.09106,-280.27972,-473.77945,-319.5959,-485.1366,-360.03705,-483.79446,-396.1021,-467.84705,-432.9378,-460.7781,-458.61417,-434.75778,-472.09772,-404.37268,-487.17188,-374.2038,-495.03275,-335.3377,-504.11575,-296.68555,-512.61285,-262.20132,-510.46777,-222.89018,-502.98175,-191.53535,-507.06247,-156.12466,-490.59335,-118.61181,-460.06738,-89.753174,-434.52322,-58.581593,-401.9961,-36.31429,-372.32883,-14.0056925,-409.0864,1.8932235,-452.89908,21.6695,-484.7538,55.19873,-505.24454,93.63301,-527.71454,137.49426,-542.0821,182.12785,-557.2396,228.18639,-571.0116,274.23874,-585.25055,319.53644,-597.6293,366.7324,-604.92163,416.17084,-603.9448,465.64563,-583.5612,506.58768,-539.5914,523.4128,-491.15857,524.08044,-442.06213,512.7683,-396.84055,493.98837,-356.28232,468.92966,-316.23325,440.3891,-278.17096,408.9471,-243.51965,376.08374,-208.14691,340.96954,-176.74727,304.75476,-146.44972,265.59982,-119.0532,225.98474,-93.788475,183.08414,-72.07378,139.79309,-50.303932,94.733536,-28.81454,56.895042,34.035152,62.20659,54.7566,105.7303,76.17873,150.36388,98.36997,194.57474,124.400215,237.73326,151.70901,276.7429,183.05573,315.91013,215.03542,355.21393,250.8694,390.98914,284.29547,422.84323,323.3365,452.4915,364.3148,481.11987,404.76633,506.73798,450.37247,523.5437,499.2475,531.3632,548.004,527.34546,590.59235,505.33585,606.18787,457.58487,603.7437,407.025,593.9961,357.5992,581.45935,313.46274,562.6415,269.61172,554.84515,221.67204,541.38586,176.54227,525.3746,131.73575,505.43195,88.6001,478.82666,47.85545,440.8205,17.712412,394.674,2.4805841,353.8796,-12.968767,390.37103,-31.124607,424.784,-54.039692,456.23273,-81.49839,479.80206,-114.81348,499.7667,-151.60008,510.32632,-188.28264,511.93195,-226.2882,515.45953,-265.2105,507.02948,-298.85593,496.90213,-336.91922,489.30447,-376.45566,477.97208,-410.34012,463.59723,-440.88257,430.7733,-460.43948,396.7976,-479.6792,357.60822,-492.4654,318.62506,-488.53467,280.13986,-479.30908,247.81503,-450.80923,212.95732,-429.8721,182.05289,-404.6211,162.98228,-367.0035,151.73697,-326.69904,139.1586,-285.35626,126.33268,-246.88937,109.28635,-210.05525,86.37321,-173.19843,63.512566,-137.68263,35.0975,-109.762985
Papilio_polytes,-32.868816,-59.951508,-54.030094,-96.31714,-72.25232,-136.42903,-88.74692,-177.43494,-104.0962,-218.9991,-117.757675,-261.3437,-130.12502,-303.8266,-142.83745,-345.91476,-165.07152,-382.56625,-192.6718,-414.60025,-220.56303,-446.00357,-255.70067,-461.04443,-294.68655,-462.0038,-332.00922,-453.38776,-367.3806,-457.4842,-399.70447,-472.866,-434.77368,-474.8372,-442.8932,-443.22433,-430.67398,-409.13113,-425.52307,-375.3369,-431.99133,-339.65027,-444.85995,-301.6274,-458.0023,-264.15674,-466.18533,-224.67621,-473.32928,-185.15627,-469.2969,-144.91162,-454.14084,-106.72855,-431.87357,-69.87178,-402.31116,-38.014668,-374.09933,-8.239842,-416.5393,5.175932,-455.762,26.49355,-485.83945,59.675835,-510.89697,97.44843,-531.4036,134.80864,-549.1288,175.27327,-566.8027,216.62169,-583.8328,257.60278,-601.9896,298.09296,-622.1476,337.15622,-639.4397,378.61334,-645.59546,424.4566,-630.937,465.8642,-592.7571,488.78833,-545.9888,496.69196,-497.32324,494.32098,-450.9558,484.3975,-406.7756,468.50388,-364.59528,448.6227,-324.22733,425.85217,-284.8547,400.59424,-246.49571,373.04443,-209.61037,343.4446,-174.74762,311.45148,-142.25378,276.46225,-113.085686,239.33127,-86.68879,199.99042,-62.21789,159.49942,-38.797264,120.67621,35.31108,118.41296,59.493553,154.5895,83.12862,195.01947,109.48749,234.44112,138.90697,271.7399,171.59966,306.62543,206.84485,339.02374,243.98495,368.98358,282.51794,396.66495,322.50168,421.73816,363.58743,444.27914,406.0456,463.65756,450.10764,479.43878,496.428,489.51743,545.13916,491.99976,592.3768,484.4109,629.5488,460.94708,645.0735,420.49753,640.53143,376.18646,625.5053,334.99908,606.1972,295.24936,587.0958,255.5898,569.7041,216.15733,552.6819,174.87984,532.99744,133.70503,511.15555,94.498695,486.4978,57.237568,456.28595,25.243977,417.51776,3.9205668,376.63992,-11.290631,406.25784,-41.516228,435.00162,-73.53137,454.50394,-110.59206,469.6201,-149.01102,473.67557,-188.82445,467.8241,-228.08145,457.91034,-265.57425,447.37186,-303.7386,432.8536,-340.1191,424.80344,-374.7437,432.67618,-409.02744,442.32764,-443.34195,432.96957,-471.88416,402.74966,-474.2506,369.5074,-462.25717,333.486,-459.40466,294.65652,-461.9598,255.9145,-461.38974,220.92278,-444.15207,192.59647,-415.1754,164.86143,-383.07935,142.91666,-346.47382,128.94667,-304.97272,116.34627,-262.41788,102.99444,-219.92639,88.55468,-178.1422,71.60543,-137.27518,52.946213,-97.550476,30.451305,-63.170162
